id,added_date,value
16902582,2025-12-17T13:09:36,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
16906823,2025-12-17T17:33:54,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
17131148,2026-01-02T17:24:23,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
17150777,2026-01-03T16:24:41,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
17439904,2026-01-20T11:08:05,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
18015003,2026-02-26T05:34:34,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
18159829,2026-03-05T14:36:44,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
18287722,2026-03-13T08:13:43,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
18307472,2026-03-14T09:17:57,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
18039673,2026-02-27T10:28:16,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
16799388,2025-12-10T10:59:03,"{""value"": false, ""schema"": ""2024-12/schema-boolean""}"
17650466,2026-02-03T05:46:39,"{""value"": false, ""schema"": ""2024-12/schema-boolean""}"
17922661,2026-02-19T06:59:06,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
17639103,2026-02-02T12:29:20,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
17639159,2026-02-02T12:31:33,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
17639167,2026-02-02T12:32:01,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
17787579,2026-02-10T11:27:26,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
18136809,2026-03-04T19:33:39,"{""value"": false, ""schema"": ""2024-12/schema-boolean""}"
16873429,2025-12-15T15:36:10,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
18170151,2026-03-06T01:27:25,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
18171573,2026-03-06T06:16:08,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
18276548,2026-03-12T13:26:37,"{""value"": false, ""schema"": ""2024-12/schema-boolean""}"
17766236,2026-02-09T08:59:46,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
17766247,2026-02-09T09:00:12,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
17799279,2026-02-11T07:43:35,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
16719511,2025-12-05T10:48:58,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
16873081,2025-12-15T15:11:35,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
16972221,2025-12-22T09:52:46,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
16976107,2025-12-22T12:04:40,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
17056498,2025-12-29T09:09:24,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
17065222,2025-12-29T14:10:55,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
17124172,2026-01-02T12:49:27,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
17176565,2026-01-05T10:10:20,"{""value"": true, ""schema"": ""2024-12/schema-boolean""}"
